,index,TotalByYearUSD,Group
22768,39619,39792,Group4
22769,39620,34755,Group4
22774,39627,42061,Group4
22779,39644,39600,Group4
22783,39653,30465,Group4
22789,39664,48686,Group4
22792,39676,40038,Group4
22796,39684,30014,Group4
22798,39689,37612,Group4
22802,39696,32212,Group4
22810,39722,43657,Group4
22812,39728,31417,Group4
22828,39766,38200,Group4
22829,39768,45344,Group4
22837,39779,38200,Group4
22842,39791,35177,Group4
22845,39798,30785,Group4
22846,39799,47348,Group4
22851,39812,31834,Group4
22857,39825,45078,Group4
22864,39839,43657,Group4
22873,39854,47750,Group4
22877,39863,49013,Group4
22883,39875,39520,Group4
22892,39895,43203,Group4
22897,39904,39792,Group4
22899,39911,41829,Group4
22906,39920,45476,Group4
22908,39925,36165,Group4
22925,39966,36836,Group4
22935,40001,42293,Group4
22950,40034,47750,Group4
22961,40060,33554,Group4
22976,40088,43200,Group4
22977,40091,32212,Group4
22981,40111,36526,Group4
22984,40115,32970,Group4
22990,40128,46284,Group4
23006,40162,45633,Group4
23020,40198,42066,Group4
23021,40199,47348,Group4
23027,40217,36142,Group4
23038,40244,45476,Group4
23047,40268,36836,Group4
23049,40270,39488,Group4
23050,40275,42036,Group4
23052,40277,47750,Group4
23066,40302,49928,Group4
23067,40304,42293,Group4
23069,40309,36381,Group4
23070,40312,33067,Group4
23072,40320,32212,Group4
23081,40335,47150,Group4
23087,40346,31200,Group4
23107,40387,46200,Group4
23112,40404,40360,Group4
23113,40408,40038,Group4
23119,40423,31592,Group4
23121,40429,38655,Group4
23134,40460,35690,Group4
23137,40465,40929,Group4
23140,40469,45476,Group4
23154,40504,48847,Group4
23160,40513,49484,Group4
23166,40526,44317,Group4
23172,40546,34107,Group4
23174,40554,34107,Group4
23176,40558,40584,Group4
23187,40584,36381,Group4
23188,40585,36238,Group4
23190,40588,44843,Group4
23191,40589,42823,Group4
23196,40597,35234,Group4
23204,40608,42257,Group4
23214,40631,43242,Group4
23215,40632,38365,Group4
23217,40634,38923,Group4
23253,40715,47474,Group4
23255,40719,44475,Group4
23258,40724,33820,Group4
23272,40764,45476,Group4
23281,40783,34896,Group4
23296,40819,42000,Group4
23298,40821,48046,Group4
23305,40836,47750,Group4
23306,40838,48000,Group4
23313,40855,47348,Group4
23332,40897,41497,Group4
23335,40901,39046,Group4
23348,40928,33585,Group4
23355,40944,44309,Group4
23361,40956,30118,Group4
23362,40959,47587,Group4
23367,40968,42066,Group4
23386,41005,42000,Group4
23392,41016,42000,Group4
23397,41024,34517,Group4
23405,41044,44643,Group4
23406,41045,35567,Group4
23432,41088,49243,Group4
23437,41097,48887,Group4
23462,41145,30429,Group4
23470,41163,45036,Group4
23471,41164,30218,Group4
23475,41171,32697,Group4
23500,41233,36000,Group4
23510,41254,31115,Group4
23516,41263,39792,Group4
23517,41266,47215,Group4
23527,41290,43868,Group4
23542,41323,41144,Group4
23546,41339,36000,Group4
23576,41407,45327,Group4
23590,41431,42000,Group4
23610,41474,36000,Group4
23616,41494,37612,Group4
23619,41502,40265,Group4
23624,41510,49115,Group4
23630,41527,44353,Group4
23635,41539,38923,Group4
23646,41563,46976,Group4
23650,41571,44475,Group4
23656,41583,32068,Group4
23661,41592,37796,Group4
23662,41593,48046,Group4
23667,41607,49013,Group4
23670,41617,42066,Group4
23672,41620,47587,Group4
23675,41629,32212,Group4
23685,41647,41607,Group4
23696,41676,43583,Group4
23703,41685,40929,Group4
23704,41686,30164,Group4
23720,41711,31132,Group4
23723,41721,46361,Group4
23725,41725,32426,Group4
23726,41726,46976,Group4
23750,41775,38923,Group4
23755,41783,38634,Group4
23761,41791,31541,Group4
23771,41805,38655,Group4
23777,41814,41638,Group4
23791,41842,43527,Group4
23792,41843,42293,Group4
23793,41845,47068,Group4
23794,41846,40265,Group4
23795,41847,35580,Group4
23811,41873,40027,Group4
23816,41878,36836,Group4
23828,41897,47215,Group4
23829,41899,34107,Group4
23840,41919,34561,Group4
23845,41926,45476,Group4
23846,41930,37581,Group4
23852,41940,37772,Group4
23861,41951,34258,Group4
23862,41952,40584,Group4
23863,41953,39792,Group4
23873,41978,44340,Group4
23875,41983,30184,Group4
23876,41985,37518,Group4
23881,41991,39792,Group4
23886,41997,40265,Group4
23887,42001,39939,Group4
23901,42034,34107,Group4
23902,42035,36942,Group4
23906,42045,43657,Group4
23908,42047,35686,Group4
23916,42062,40929,Group4
23930,42087,38634,Group4
23933,42091,45022,Group4
23935,42094,34107,Group4
23957,42134,30164,Group4
23958,42135,34107,Group4
23961,42139,36126,Group4
23964,42145,45476,Group4
23966,42147,40929,Group4
23970,42152,40929,Group4
23975,42159,32470,Group4
23976,42160,42293,Group4
23979,42167,40929,Group4
23983,42179,32212,Group4
23988,42188,32212,Group4
24005,42214,36381,Group4
24006,42215,36238,Group4
24016,42228,36909,Group4
24023,42238,30164,Group4
24024,42239,34636,Group4
24033,42253,38655,Group4
24036,42257,34676,Group4
24038,42262,36000,Group4
24041,42267,46613,Group4
24045,42273,48000,Group4
24048,42279,34107,Group4
24049,42280,34107,Group4
24052,42286,41611,Group4
24057,42294,47750,Group4
24060,42299,44612,Group4
24062,42305,40038,Group4
24063,42307,49200,Group4
24067,42311,31379,Group4
24071,42317,34107,Group4
24073,42320,47215,Group4
24074,42321,34107,Group4
24076,42324,36067,Group4
24078,42329,45476,Group4
24086,42342,43203,Group4
24089,42348,34107,Group4
24100,42362,45476,Group4
24102,42364,37883,Group4
24105,42370,32220,Group4
24111,42383,40929,Group4
24117,42392,32347,Group4
24121,42402,35472,Group4
24122,42403,41638,Group4
24129,42415,49865,Group4
24133,42420,34107,Group4
24134,42422,39565,Group4
24135,42424,49074,Group4
24139,42432,37879,Group4
24142,42435,35690,Group4
24149,42445,45476,Group4
24156,42457,31319,Group4
24158,42459,49115,Group4
24162,42469,40929,Group4
24166,42474,30014,Group4
24167,42476,43203,Group4
24168,42477,30312,Group4
24169,42478,35356,Group4
24178,42501,38809,Group4
24182,42507,30164,Group4
24183,42509,40265,Group4
24189,42516,41638,Group4
24190,42520,48701,Group4
24193,42524,49342,Group4
24195,42526,44612,Group4
24196,42528,45852,Group4
24200,42534,34107,Group4
24205,42542,47587,Group4
24211,42550,49387,Group4
24217,42562,45135,Group4
24218,42563,40929,Group4
24220,42566,46276,Group4
24222,42569,49115,Group4
24227,42580,39792,Group4
24233,42587,32031,Group4
24237,42593,44612,Group4
24238,42594,41638,Group4
24245,42605,34107,Group4
24247,42607,38200,Group4
24250,42614,40929,Group4
24268,42638,34107,Group4
24295,42687,32678,Group4
24298,42691,34107,Group4
24303,42698,33554,Group4
24304,42701,47750,Group4
24306,42705,31515,Group4
24320,42733,47750,Group4
24321,42734,41334,Group4
24330,42752,40929,Group4
24331,42754,36836,Group4
24333,42756,36835,Group4
24335,42759,47750,Group4
24336,42760,40929,Group4
24338,42762,38740,Group4
24343,42772,36836,Group4
24359,42799,43597,Group4
24363,42807,42066,Group4
24364,42808,36836,Group4
24365,42809,40151,Group4
24367,42811,36681,Group4
24368,42812,49456,Group4
24369,42814,36582,Group4
24370,42816,35690,Group4
24377,42830,45592,Group4
24389,42851,33554,Group4
24392,42856,40929,Group4
24397,42865,43203,Group4
24419,42911,45022,Group4
24427,42928,34107,Group4
24435,42942,41638,Group4
24446,42953,37506,Group4
24448,42955,44340,Group4
24457,42968,41636,Group4
24464,42982,48701,Group4
24472,42991,49115,Group4
24482,43009,39046,Group4
24484,43015,35472,Group4
24485,43017,43026,Group4
24488,43024,31379,Group4
24489,43025,48274,Group4
24493,43032,34107,Group4
24504,43049,40974,Group4
24510,43059,40200,Group4
24521,43075,40929,Group4
24550,43137,32785,Group4
24551,43138,43657,Group4
24554,43143,46386,Group4
24566,43167,41638,Group4
24571,43186,38634,Group4
24575,43192,47750,Group4
24576,43194,44291,Group4
24578,43196,34107,Group4
24579,43197,43203,Group4
24581,43200,43316,Group4
24584,43205,36309,Group4
24589,43211,45600,Group4
24591,43214,39792,Group4
24599,43229,43203,Group4
24600,43230,38400,Group4
24604,43245,48000,Group4
24607,43248,47337,Group4
24608,43250,43203,Group4
24616,43268,31834,Group4
24618,43271,47750,Group4
24619,43274,45476,Group4
24623,43286,44885,Group4
24624,43291,38923,Group4
24629,43296,40929,Group4
24630,43297,41675,Group4
24632,43300,46386,Group4
24634,43305,30422,Group4
24640,43314,45135,Group4
24641,43315,32743,Group4
24643,43317,43203,Group4
24645,43319,39792,Group4
24650,43330,43344,Group4
24654,43338,38655,Group4
24660,43356,36000,Group4
24668,43369,37735,Group4
24669,43373,43657,Group4
24675,43381,41940,Group4
24676,43382,40920,Group4
24712,43454,38664,Group4
24728,43482,44643,Group4
24729,43484,42524,Group4
24732,43488,45476,Group4
24734,43491,33851,Group4
24741,43511,30979,Group4
24747,43520,34865,Group4
24762,43546,40929,Group4
24767,43554,45476,Group4
24768,43557,40929,Group4
24773,43570,30862,Group4
24783,43587,38400,Group4
24788,43594,39792,Group4
24789,43595,41597,Group4
24791,43603,40584,Group4
24793,43611,36000,Group4
24800,43630,46803,Group4
24813,43664,43836,Group4
24817,43674,37441,Group4
24818,43676,37979,Group4
24833,43704,49045,Group4
24835,43709,46976,Group4
24839,43717,43743,Group4
24840,43720,45600,Group4
24841,43724,39210,Group4
24845,43729,37979,Group4
24846,43730,45373,Group4
24851,43741,48046,Group4
24865,43767,31834,Group4
24880,43794,35100,Group4
24883,43801,42878,Group4
24896,43829,48922,Group4
24897,43832,37294,Group4
24921,43877,33851,Group4
24922,43878,47474,Group4
24945,43932,37177,Group4
24952,43949,39792,Group4
24966,43974,43203,Group4
24978,43995,43720,Group4
24983,44008,43203,Group4
24989,44020,47875,Group4
24991,44023,38612,Group4
24999,44032,30683,Group4
25000,44033,42339,Group4
25001,44036,47750,Group4
25006,44043,34107,Group4
25012,44051,44108,Group4
25013,44053,40929,Group4
25017,44062,31841,Group4
25043,44109,50000,Group4
25045,44113,35606,Group4
25047,44115,47474,Group4
25052,44126,44313,Group4
25056,44135,36745,Group4
25058,44138,33000,Group4
25064,44153,38300,Group4
25069,44163,43665,Group4
25070,44168,49299,Group4
25073,44171,34455,Group4
25076,44174,32031,Group4
25089,44198,32455,Group4
25095,44211,39600,Group4
25096,44212,38634,Group4
25100,44217,40228,Group4
25122,44272,30118,Group4
25131,44286,42761,Group4
25141,44307,41644,Group4
25147,44319,49452,Group4
25151,44324,34867,Group4
25157,44338,31280,Group4
25160,44345,36034,Group4
25166,44357,33807,Group4
25172,44379,50000,Group4
25174,44383,32904,Group4
25193,44422,36000,Group4
25200,44440,50000,Group4
25209,44456,43099,Group4
25210,44457,44068,Group4
25216,44470,30284,Group4
25221,44478,30014,Group4
25230,44492,44455,Group4
25242,44510,47942,Group4
25252,44535,36198,Group4
25262,44562,44475,Group4
25292,44638,34755,Group4
25295,44643,43794,Group4
25302,44657,47647,Group4
25307,44666,48533,Group4
25309,44671,40265,Group4
25313,44680,42823,Group4
25328,44710,35823,Group4
25331,44714,43290,Group4
25333,44718,48896,Group4
25340,44733,46324,Group4
25351,44750,40929,Group4
25352,44751,42000,Group4
25355,44759,35102,Group4
25358,44769,42823,Group4
25361,44775,33649,Group4
25362,44776,32212,Group4
25363,44777,48887,Group4
25365,44783,31379,Group4
25376,44800,33316,Group4
25382,44808,36836,Group4
25387,44824,40379,Group4
25409,44867,34464,Group4
25438,44925,34586,Group4
25452,44947,31280,Group4
25454,44954,47057,Group4
25456,44957,40041,Group4
25462,44966,32506,Group4
25470,44981,40584,Group4
25471,44982,34107,Group4
25472,44983,47508,Group4
25480,44998,47142,Group4
25489,45011,35472,Group4
25491,45014,48887,Group4
25493,45016,30014,Group4
25498,45030,37772,Group4
25502,45034,40929,Group4
25510,45048,36000,Group4
25520,45062,44400,Group4
25528,45074,48037,Group4
25531,45079,45476,Group4
25534,45086,47201,Group4
25544,45106,42000,Group4
25554,45121,37518,Group4
25572,45152,47348,Group4
25579,45161,48533,Group4
25585,45175,38923,Group4
25589,45180,36526,Group4
25594,45187,45476,Group4
25603,45202,38597,Group4
25606,45208,47750,Group4
25608,45212,30870,Group4
25615,45223,49360,Group4
25621,45229,40265,Group4
25625,45233,38124,Group4
25626,45234,44185,Group4
25630,45238,42000,Group4
25635,45251,35472,Group4
25644,45267,30697,Group4
25645,45268,30844,Group4
25648,45272,44340,Group4
25654,45285,42293,Group4
25663,45295,32031,Group4
25668,45303,42000,Group4
25669,45304,39792,Group4
25690,45339,36154,Group4
25694,45349,34107,Group4
25695,45351,30052,Group4
25696,45355,47296,Group4
25699,45360,33881,Group4
25704,45368,40929,Group4
25708,45376,48661,Group4
25712,45386,47750,Group4
25713,45388,45386,Group4
25722,45403,40265,Group4
25723,45404,49535,Group4
25746,45447,38655,Group4
25751,45456,47587,Group4
25762,45484,40929,Group4
25765,45488,32467,Group4
25771,45498,42417,Group4
25775,45509,48000,Group4
25776,45510,43203,Group4
25789,45533,40929,Group4
25801,45554,40936,Group4
25806,45563,49897,Group4
25808,45565,34107,Group4
25809,45567,39292,Group4
25812,45574,45476,Group4
25817,45582,30014,Group4
25825,45600,48887,Group4
25826,45601,38757,Group4
25828,45606,39792,Group4
25836,45619,38200,Group4
25847,45637,39565,Group4
25857,45656,40321,Group4
25875,45680,34080,Group4
25878,45684,32743,Group4
25889,45706,32785,Group4
25890,45708,36836,Group4
25891,45710,45476,Group4
25898,45718,36961,Group4
25900,45720,47750,Group4
25911,45739,32743,Group4
25923,45757,47587,Group4
25942,45791,36381,Group4
25958,45817,41711,Group4
25960,45824,36142,Group4
25966,45831,40929,Group4
25968,45836,48168,Group4
25972,45843,37518,Group4
25977,45849,30742,Group4
25980,45852,32716,Group4
25982,45855,34107,Group4
26001,45889,36836,Group4
26003,45891,30870,Group4
26004,45893,38664,Group4
26008,45900,37772,Group4
26020,45919,34107,Group4
26030,45930,44094,Group4
26038,45943,32743,Group4
26045,45952,36381,Group4
26064,45978,30128,Group4
26068,45987,40038,Group4
26085,46011,40929,Group4
26097,46030,40929,Group4
26101,46034,30118,Group4
26107,46043,31732,Group4
26109,46045,39556,Group4
26110,46046,37269,Group4
26111,46047,33995,Group4
26113,46049,47517,Group4
26124,46072,42293,Group4
26126,46074,49000,Group4
26134,46084,36309,Group4
26143,46094,49115,Group4
26145,46096,33820,Group4
26148,46101,41853,Group4
26150,46103,47474,Group4
26155,46111,47750,Group4
26159,46120,36381,Group4
26160,46121,32970,Group4
26165,46127,45840,Group4
26168,46130,34878,Group4
26169,46135,35472,Group4
26174,46140,32716,Group4
26175,46141,45996,Group4
26177,46143,36836,Group4
26178,46146,45476,Group4
26188,46158,32047,Group4
26198,46173,31379,Group4
26199,46180,47224,Group4
26201,46182,40929,Group4
26220,46203,35102,Group4
26229,46213,36238,Group4
26247,46242,47818,Group4
26255,46258,46200,Group4
26259,46267,39792,Group4
26266,46280,36836,Group4
26282,46309,44203,Group4
26284,46312,47750,Group4
26293,46327,43026,Group4
26296,46332,45177,Group4
26298,46334,43203,Group4
26313,46359,36572,Group4
26320,46369,42667,Group4
26347,46415,38664,Group4
26356,46433,44792,Group4
26357,46434,48701,Group4
26360,46438,30697,Group4
26362,46442,34896,Group4
26365,46446,36381,Group4
26374,46457,32916,Group4
26387,46478,38655,Group4
26397,46492,45022,Group4
26398,46493,30014,Group4
26408,46509,32470,Group4
26417,46520,31390,Group4
26419,46523,48701,Group4
26432,46544,35360,Group4
26446,46566,34980,Group4
26457,46584,31689,Group4
26469,46599,45322,Group4
26480,46623,44643,Group4
26486,46633,33932,Group4
26491,46639,37000,Group4
26507,46666,34421,Group4
26520,46686,50000,Group4
26522,46688,34107,Group4
26527,46697,43518,Group4
26528,46700,48887,Group4
26537,46719,43290,Group4
26543,46730,42949,Group4
26545,46732,50000,Group4
26552,46741,30429,Group4
26554,46749,49209,Group4
26558,46756,32269,Group4
26564,46769,48000,Group4
26568,46778,32941,Group4
26574,46794,35069,Group4
26581,46806,36000,Group4
26605,46839,36000,Group4
26612,46856,35690,Group4
26620,46866,48000,Group4
26624,46874,49484,Group4
26665,46955,40038,Group4
26676,46970,33554,Group4
26688,46991,47750,Group4
26692,46998,49728,Group4
26695,47001,46200,Group4
26704,47018,45895,Group4
26706,47020,32743,Group4
26717,47038,47348,Group4
26721,47049,38541,Group4
26730,47063,45840,Group4
26731,47069,36000,Group4
26745,47097,48000,Group4
26747,47099,47587,Group4
26748,47101,45999,Group4
26751,47104,45000,Group4
26759,47115,43518,Group4
26771,47134,36400,Group4
26774,47137,44612,Group4
26777,47142,31417,Group4
26779,47145,32177,Group4
26789,47159,49728,Group4
26792,47163,35214,Group4
26795,47170,35779,Group4
26812,47199,42066,Group4
26813,47201,36658,Group4
26814,47204,44090,Group4
26834,47231,47587,Group4
26843,47243,32400,Group4
26849,47257,35690,Group4
26861,47280,43203,Group4
26862,47282,32400,Group4
26865,47285,39000,Group4
26867,47288,38200,Group4
26868,47289,48000,Group4
26871,47293,47750,Group4
26886,47311,39440,Group4
26888,47313,31656,Group4
26890,47315,40000,Group4
26891,47316,47750,Group4
26893,47318,45000,Group4
26903,47333,50000,Group4
26908,47342,40038,Group4
26918,47358,43836,Group4
26922,47367,36372,Group4
26939,47390,38437,Group4
26942,47393,47750,Group4
26946,47402,37500,Group4
26950,47407,45476,Group4
26951,47408,44309,Group4
26955,47415,32269,Group4
26965,47429,49299,Group4
26969,47437,43771,Group4
27004,47498,45000,Group4
27011,47508,42417,Group4
27020,47525,41600,Group4
27023,47528,36000,Group4
27027,47537,44843,Group4
27028,47544,41640,Group4
27032,47549,37879,Group4
27039,47562,47474,Group4
27042,47566,37648,Group4
27045,47570,43026,Group4
27048,47576,32455,Group4
27050,47579,35405,Group4
27069,47616,34107,Group4
27083,47638,47474,Group4
27091,47650,34013,Group4
27107,47681,31280,Group4
27116,47693,36319,Group4
27122,47699,32828,Group4
27141,47741,33600,Group4
27144,47747,45000,Group4
27145,47750,41985,Group4
27147,47754,48000,Group4
27154,47766,31280,Group4
27158,47771,43583,Group4
27161,47778,38356,Group4
27176,47801,43444,Group4
27191,47825,43026,Group4
27192,47827,31280,Group4
27199,47842,30385,Group4
27202,47846,43583,Group4
27214,47875,30785,Group4
27220,47889,36844,Group4
27257,47958,49041,Group4
27267,47976,34896,Group4
27278,48008,35564,Group4
27288,48026,45327,Group4
27292,48037,35970,Group4
27303,48057,38923,Group4
27311,48072,44291,Group4
27312,48074,33116,Group4
27313,48075,37044,Group4
27319,48088,40265,Group4
27321,48092,32212,Group4
27323,48095,31312,Group4
27341,48126,40265,Group4
27349,48144,47750,Group4
27353,48151,40265,Group4
27379,48217,37115,Group4
27388,48235,44340,Group4
27393,48244,32678,Group4
27394,48245,38740,Group4
27395,48246,36000,Group4
27398,48249,42293,Group4
27402,48261,40265,Group4
27403,48266,49115,Group4
27409,48281,48318,Group4
27414,48287,42949,Group4
27415,48295,39792,Group4
27416,48296,38391,Group4
27420,48302,36381,Group4
27422,48305,47215,Group4
27446,48356,30014,Group4
27448,48358,34107,Group4
27457,48377,39565,Group4
27458,48378,36142,Group4
27460,48386,40952,Group4
27474,48412,36950,Group4
27475,48413,45786,Group4
27480,48424,34107,Group4
27487,48437,36835,Group4
27490,48442,32716,Group4
27491,48443,42061,Group4
27496,48452,38578,Group4
27498,48457,34107,Group4
27500,48459,43385,Group4
27503,48463,44643,Group4
27506,48469,37177,Group4
27519,48487,32031,Group4
27521,48493,35649,Group4
27522,48494,39837,Group4
27527,48503,49115,Group4
27542,48528,41644,Group4
27543,48529,34755,Group4
27544,48530,46386,Group4
27548,48536,36238,Group4
27559,48554,37581,Group4
27566,48569,41640,Group4
27567,48570,30164,Group4
27570,48575,30697,Group4
27574,48585,40800,Group4
27575,48587,31379,Group4
27580,48598,41311,Group4
27582,48600,46613,Group4
27585,48606,37177,Group4
27592,48617,44612,Group4
27600,48630,44612,Group4
27605,48637,43203,Group4
27613,48648,33554,Group4
27633,48677,38391,Group4
27647,48698,48049,Group4
27655,48708,47719,Group4
27659,48714,36970,Group4
27663,48722,49360,Group4
27666,48726,34552,Group4
27671,48734,46394,Group4
27676,48739,38655,Group4
27677,48740,41853,Group4
27678,48742,39766,Group4
27680,48744,40929,Group4
27688,48753,43875,Group4
27690,48756,44612,Group4
27691,48757,37518,Group4
27700,48770,41853,Group4
27701,48771,40929,Group4
27703,48773,48887,Group4
27704,48774,46976,Group4
27708,48779,38664,Group4
27709,48780,34107,Group4
27710,48781,38664,Group4
27713,48787,31200,Group4
27721,48796,41638,Group4
27723,48799,32031,Group4
27731,48812,34107,Group4
27742,48829,41133,Group4
27745,48833,44021,Group4
27747,48835,41092,Group4
27749,48839,45703,Group4
27757,48852,47750,Group4
27762,48860,39792,Group4
27764,48862,47750,Group4
27767,48865,49115,Group4
27770,48869,38664,Group4
27776,48875,32156,Group4
27778,48877,37879,Group4
27790,48897,42975,Group4
27791,48899,43657,Group4
27792,48900,45327,Group4
27793,48901,30014,Group4
27794,48902,47587,Group4
27797,48905,36381,Group4
27799,48908,48144,Group4
27800,48909,42975,Group4
27809,48920,32467,Group4
27814,48925,35649,Group4
27815,48926,32832,Group4
27816,48927,44108,Group4
27823,48936,32970,Group4
27825,48938,44353,Group4
27826,48939,40929,Group4
27845,48965,31084,Group4
27849,48972,39565,Group4
27858,48984,38200,Group4
27865,48993,36452,Group4
27872,49001,34107,Group4
27877,49009,34107,Group4
27885,49022,40584,Group4
27887,49024,42066,Group4
27896,49033,34107,Group4
27904,49042,34107,Group4
27905,49043,48701,Group4
27908,49047,43203,Group4
27909,49048,41853,Group4
27919,49062,44103,Group4
27922,49065,36381,Group4
27931,49077,47750,Group4
27934,49080,43203,Group4
27952,49105,47466,Group4
27953,49106,34203,Group4
27961,49114,45633,Group4
27963,49117,36381,Group4
27966,49122,45341,Group4
27968,49131,40247,Group4
27971,49136,36000,Group4
27979,49148,45476,Group4
27980,49149,47750,Group4
27981,49150,46386,Group4
27994,49170,47750,Group4
28000,49178,33043,Group4
28005,49184,44362,Group4
28006,49187,30090,Group4
28007,49188,38655,Group4
28009,49191,32467,Group4
28018,49205,33600,Group4
28020,49207,45476,Group4
28026,49214,49281,Group4
28028,49217,36381,Group4
28033,49224,34107,Group4
28035,49228,46891,Group4
28038,49231,47750,Group4
28040,49233,32906,Group4
28041,49234,36359,Group4
28060,49262,31834,Group4
28063,49266,49045,Group4
28065,49270,34107,Group4
28073,49283,46976,Group4
28078,49288,44185,Group4
28081,49291,36000,Group4
28088,49304,31028,Group4
28089,49305,40929,Group4
28097,49315,47750,Group4
28100,49320,43966,Group4
28105,49329,48046,Group4
28118,49345,49797,Group4
28128,49360,40929,Group4
28130,49362,43657,Group4
28132,49364,40929,Group4
28141,49379,47348,Group4
28145,49388,38664,Group4
28147,49390,44643,Group4
28148,49391,34107,Group4
28159,49405,32000,Group4
28161,49410,38655,Group4
28172,49428,45476,Group4
28173,49429,33234,Group4
28174,49430,47348,Group4
28180,49437,42329,Group4
28182,49439,45476,Group4
28187,49447,45022,Group4
28188,49449,34107,Group4
28192,49455,46361,Group4
28201,49468,37709,Group4
28211,49484,35615,Group4
28214,49487,46394,Group4
28217,49492,38318,Group4
28224,49510,47750,Group4
28225,49511,45476,Group4
28235,49525,41611,Group4
28240,49536,43316,Group4
28242,49541,46613,Group4
28244,49543,49115,Group4
28246,49547,38200,Group4
28251,49556,39792,Group4
28267,49584,39453,Group4
28270,49587,44340,Group4
28275,49595,36000,Group4
28280,49601,40929,Group4
28281,49602,35472,Group4
28283,49604,39792,Group4
28294,49617,31379,Group4
28297,49623,30657,Group4
28303,49634,40929,Group4
28310,49642,45476,Group4
28311,49644,44340,Group4
28321,49663,45177,Group4
28327,49671,36836,Group4
28329,49674,38200,Group4
28332,49679,47750,Group4
28344,49701,39792,Group4
28359,49719,49115,Group4
28362,49722,33820,Group4
28370,49734,37772,Group4
28375,49747,34107,Group4
28386,49764,45996,Group4
28387,49765,41853,Group4
28389,49771,40584,Group4
28394,49779,36381,Group4
28398,49784,35472,Group4
28401,49792,31106,Group4
28415,49819,42778,Group4
28417,49823,40929,Group4
28421,49829,44090,Group4
28453,49880,38634,Group4
28454,49881,32743,Group4
28461,49893,38200,Group4
28462,49894,45110,Group4
28463,49895,45022,Group4
28474,49911,37581,Group4
28478,49918,46000,Group4
28483,49925,46613,Group4
28485,49927,48701,Group4
28494,49938,39565,Group4
28500,49947,45476,Group4
28503,49951,48701,Group4
28507,49956,49848,Group4
28517,49976,41133,Group4
28520,49979,37612,Group4
28531,50007,35069,Group4
28535,50012,36381,Group4
28537,50015,39792,Group4
28549,50031,48266,Group4
28555,50041,48887,Group4
28557,50044,40584,Group4
28561,50048,43836,Group4
28562,50050,36582,Group4
28569,50058,31379,Group4
28577,50069,46367,Group4
28579,50072,44185,Group4
28583,50077,38200,Group4
28584,50078,39600,Group4
28589,50084,33459,Group4
28594,50090,38200,Group4
28608,50112,48037,Group4
28613,50120,44340,Group4
28618,50127,47348,Group4
28620,50129,43026,Group4
28641,50160,40000,Group4
28646,50168,49534,Group4
28649,50171,35069,Group4
28659,50184,45704,Group4
28672,50201,32269,Group4
28678,50211,31965,Group4
28681,50215,38200,Group4
28683,50219,31417,Group4
28690,50229,49400,Group4
28695,50241,34107,Group4
28696,50242,44074,Group4
28708,50257,47328,Group4
28716,50266,40000,Group4
28717,50267,37772,Group4
28726,50277,49104,Group4
28730,50281,44340,Group4
28735,50288,40229,Group4
28736,50291,32269,Group4
28742,50298,39562,Group4
28749,50309,45476,Group4
28751,50313,32743,Group4
28761,50327,46613,Group4
28762,50328,46386,Group4
28768,50339,49879,Group4
28771,50342,47750,Group4
28772,50343,49115,Group4
28774,50346,45476,Group4
28778,50355,34107,Group4
28784,50366,40929,Group4
28792,50378,35234,Group4
28798,50390,35472,Group4
28804,50402,48533,Group4
28806,50405,50000,Group4
28814,50418,47078,Group4
28818,50426,41937,Group4
28820,50433,34107,Group4
28825,50439,44042,Group4
28827,50445,41497,Group4
28847,50471,47000,Group4
28879,50516,43657,Group4
28880,50518,44643,Group4
28901,50546,48896,Group4
28911,50557,45191,Group4
28927,50578,49057,Group4
28938,50592,36262,Group4
28961,50635,39824,Group4
28963,50637,37634,Group4
28970,50647,50000,Group4
28971,50649,37136,Group4
28982,50661,46394,Group4
29007,50707,35102,Group4
29012,50718,46563,Group4
29027,50741,31650,Group4
29036,50751,45341,Group4
29039,50754,32269,Group4
29047,50766,47750,Group4
29056,50777,44370,Group4
29069,50802,45000,Group4
29073,50806,48432,Group4
29075,50809,35472,Group4
29079,50813,40265,Group4
29080,50815,37440,Group4
29095,50835,42000,Group4
29103,50844,49074,Group4
29115,50860,34000,Group4
29135,50888,45141,Group4
29142,50898,45760,Group4
29143,50899,46028,Group4
29162,50925,32269,Group4
29179,50947,39500,Group4
29186,50957,47348,Group4
29192,50965,36381,Group4
29194,50967,40929,Group4
29198,50973,47750,Group4
29199,50975,36526,Group4
29203,50982,39117,Group4
29206,50987,50000,Group4
29210,50992,47348,Group4
29231,51022,42000,Group4
29235,51026,43203,Group4
29237,51035,35687,Group4
29255,51061,32716,Group4
29259,51067,45476,Group4
29264,51072,40929,Group4
29269,51077,32269,Group4
29274,51089,43203,Group4
29275,51090,42066,Group4
29279,51094,46394,Group4
29286,51101,48000,Group4
29298,51117,45476,Group4
29336,51176,43438,Group4
29343,51187,47474,Group4
29344,51188,34062,Group4
29351,51203,47474,Group4
29354,51207,44843,Group4
29359,51215,34225,Group4
29369,51233,42359,Group4
29373,51245,47750,Group4
29375,51248,50000,Group4
29381,51259,43657,Group4
29383,51261,33107,Group4
29398,51289,42823,Group4
29414,51312,33554,Group4
29422,51322,44340,Group4
29428,51328,47750,Group4
29444,51360,35855,Group4
29445,51361,44256,Group4
