,index,TotalByYearUSD,Group
7907,13679,568180,Group1
7948,13748,243522,Group1
8001,13837,200036,Group1
8005,13843,545717,Group1
8021,13869,215786,Group1
8057,13927,533429,Group1
8087,13971,518432,Group1
8123,14036,300000,Group1
8137,14064,635761,Group1
8161,14108,397726,Group1
8165,14112,432026,Group1
8191,14167,682147,Group1
8253,14271,204644,Group1
8342,14414,231806,Group1
8368,14456,221590,Group1
8390,14489,234381,Group1
8409,14523,434860,Group1
8416,14534,487011,Group1
8428,14562,220107,Group1
8432,14567,300145,Group1
8450,14599,233536,Group1
8455,14605,202921,Group1
8537,14750,487011,Group1
8617,14878,491146,Group1
8671,14958,518432,Group1
8708,15018,202921,Group1
8714,15031,236742,Group1
8737,15068,316000,Group1
8812,15193,252394,Group1
8859,15273,204762,Group1
8891,15328,260877,Group1
8940,15408,682147,Group1
9019,15557,665582,Group1
9024,15565,236478,Group1
9033,15579,263798,Group1
9047,15602,644238,Group1
9063,15632,450217,Group1
9074,15648,504789,Group1
9077,15653,209377,Group1
9111,15702,597561,Group1
9135,15751,682147,Group1
9147,15770,579814,Group1
9170,15809,220000,Group1
9179,15827,275000,Group1
9255,15973,564818,Group1
9378,16171,202000,Group1
9386,16189,338202,Group1
9387,16190,613932,Group1
9408,16221,252000,Group1
9491,16366,220000,Group1
9534,16426,500000,Group1
9538,16432,570957,Group1
9566,16475,616881,Group1
9576,16495,243506,Group1
9735,16744,300000,Group1
9761,16790,480247,Group1
9770,16805,330000,Group1
9771,16806,354716,Group1
9832,16900,325000,Group1
9847,16929,214960,Group1
9859,16952,212488,Group1
9876,16984,573003,Group1
9940,17086,395000,Group1
9967,17135,312000,Group1
9983,17162,250000,Group1
9990,17171,285000,Group1
10012,17204,613932,Group1
10032,17234,305768,Group1
10087,17338,450000,Group1
10127,17407,206918,Group1
10135,17420,400000,Group1
10141,17432,545717,Group1
10183,17519,430000,Group1
10187,17523,612000,Group1
10222,17579,616881,Group1
10226,17586,390000,Group1
10227,17587,654861,Group1
10259,17639,227382,Group1
10316,17727,250000,Group1
10323,17740,240000,Group1
10329,17749,535712,Group1
10368,17827,250000,Group1
10369,17830,535712,Group1
10403,17895,475125,Group1
10419,17917,644238,Group1
10420,17918,205000,Group1
10493,18040,230000,Group1
10503,18060,573003,Group1
10520,18085,550000,Group1
10533,18101,210000,Group1
10541,18113,225000,Group1
10615,18232,205000,Group1
10668,18313,586646,Group1
10669,18314,300000,Group1
10739,18420,284228,Group1
10752,18443,228390,Group1
10804,18531,218000,Group1
10811,18542,436574,Group1
10821,18563,316496,Group1
10839,18604,250000,Group1
10848,18616,300000,Group1
